Description,Department,Category,Vendor,Amount
Lighting setup - Production,Production,Equipment,Modern Office Supply,28200
Consultant fees - Production,Production,Talent,Talent Agency Plus,22300
Lighting setup - Production,Production,Equipment,Professional Services,18700
Props expense - Production,Production,Props,Premier Rentals,18300
Studio gear - Production,Production,Equipment,Professional Services,16200
Catering expense - Production,Production,Catering,Premier Rentals,13600
Transportation expense - Production,Production,Transportation,Tech Solutions Inc,8100
Catering expense - Production,Production,Catering,Elite Consulting,7500
Camera rental - Production,Production,Equipment,ABC Equipment Co,6100
Catering expense - Production,Production,Catering,Tech Solutions Inc,5900
Studio gear - Production,Production,Equipment,Premier Rentals,4000
Camera rental - Production,Production,Equipment,Creative Studios,3600
Camera rental - Production,Production,Equipment,Talent Agency Plus,1600
Props expense - Production,Production,Props,Creative Studios,710
Client Entertainment expense - Sales,Sales,Client Entertainment,XYZ Productions,19100
Client Entertainment expense - Sales,Sales,Client Entertainment,ABC Equipment Co,16600
Commission expense - Sales,Sales,Commission,Professional Services,10400
Client Entertainment expense - Sales,Sales,Client Entertainment,Talent Agency Plus,10000
Commission expense - Sales,Sales,Commission,Prime Logistics,9500
Flight tickets - Sales,Sales,Travel,Quality Catering,8300
Hotel accommodation - Sales,Sales,Travel,Prime Logistics,7900
Client Entertainment expense - Sales,Sales,Client Entertainment,Digital Marketing Pro,6200
Commission expense - Sales,Sales,Commission,Media Experts,6100
Car rental - Sales,Sales,Travel,Elite Consulting,5500
CRM Software expense - Sales,Sales,CRM Software,Digital Marketing Pro,5100
Hotel accommodation - Sales,Sales,Travel,Professional Services,3200
Flight tickets - Sales,Sales,Travel,Elite Consulting,1500
IT Support expense - Technology,Technology,IT Support,XYZ Productions,19000
Hardware expense - Technology,Technology,Hardware,Elite Consulting,18800
Hardware expense - Technology,Technology,Hardware,Elite Consulting,16800
Hardware expense - Technology,Technology,Hardware,XYZ Productions,15500
IT Support expense - Technology,Technology,IT Support,Media Experts,15500
Cloud Services expense - Technology,Technology,Cloud Services,Professional Services,13400
Hardware expense - Technology,Technology,Hardware,Global Services LLC,8300
Salesforce - Technology,Technology,Software Licenses,Modern Office Supply,6600
IT Support expense - Technology,Technology,IT Support,XYZ Productions,4500
Hardware expense - Technology,Technology,Hardware,Metro Supplies,3900
IT Support expense - Technology,Technology,IT Support,Cloud Systems,3700
Cloud Services expense - Technology,Technology,Cloud Services,Digital Marketing Pro,3300
Cloud Services expense - Technology,Technology,Cloud Services,Talent Agency Plus,2600
Hardware expense - Technology,Technology,Hardware,Design Hub,2200
IT Support expense - Technology,Technology,IT Support,Design Hub,1600
